パルNo.,名前,属性,ドロップアイテム,作業適正
1,モコロン,無属性,"モコロンの羊肉,羊毛","手作業Lv1,運搬Lv1,牧場Lv1"
2,ツッパニャン,無属性,赤いベリー,"手作業Lv1,運搬Lv1,採集Lv1,採掘Lv1"
3,タマコッコ,無属性,"タマコッコの鶏肉,卵","採取Lv1,牧場Lv1"
4,クルリス,草属性,"ベリーの種,低品櫃の医療品","種まきLv1,手作業Lv1,伐採Lv1,製薬Lv1,採集Lv1"
5,キツネビ,炎属性,"革,発火器官",火起こしLv1
6,カモノスケ,水属性,"革,パルの体液","水やりLv1,手作業Lv2,運搬Lv1"
7,ボルトラ,雷属性,発電器官,"発電Lv1,手作業Lv1,運搬Lv1"
8,エテッパ,草属性,キノコ,"種まきLv1,手作業Lv1,採集Lv1,伐採Lv1,運搬Lv1"
9,ヒノコジカ,炎属性,"発火器官,革",火おこしLv1
10,ペンタマ,水属性/氷属性,"氷結器官,パルの体液","水やりLv1,手作業Lv1,冷却Lv1,運搬Lv1"
11,キャプペン,水属性/氷属性,氷結器官/キャプペンの羽飾り,"水やりLv2,手作業Lv2,採掘Lv2,冷却Lv2,運搬Lv2"
12,パチグリ,雷属性,発電器官,発電Lv1
12B,コチグリ,氷属性,氷結器官,冷却Lv1
13,ナエモチ,草属性/地属性,"ベリーの種,ナエモチの葉っぱ",種まきLv1
14,タマモ,無属性,"革,骨","採集Lv1,牧場Lv1"
15,ホウロック,闇属性,"繊維,高度な技術書",採集Lv1
16,チョロゾウ,水属性,パルの体液,水やりLv1
17,ンダコアラ,闇属性,毒腺,"手作業Lv1,採掘Lv1,運搬Lv1"
18,ミルフィー,無属性,羊毛,"採集Lv1,牧場Lv1"
19,ネムラム,闇属性,"毒腺,小さなパルのソウル","手作業Lv1,採集Lv1,運搬Lv1"
20,イノボウ,地属性,"イノボウの猪肉,革,骨",採掘Lv1
21,ルナティ,闇属性,"革,小さなパルソウル",採集Lv1
22,モグルン,地属性,革,"手作業Lv1,採掘Lv1,運搬Lv1"
23,ヤミイカ,闇属性,毒腺,"採集Lv1,運搬Lv2"
24,ニャオテト,氷属性,,Lv
24A,チルテト,氷属性,,Lv
25,ルミカイト,水属性,パルの体液,"水やりLv1,運搬Lv1"
26,ガウルフ,無属性,"革,ルビー,金貨",採集Lv1
27,クルットリ,無属性,"火薬,クルットリの羽",採集Lv1
28,ポプリーナ,草属性,"低品質の医薬品,小麦の種","種まきLv1,手作業Lv1,採集Lv1,製薬Lv1,運搬Lv1"
29,ミルカルビ,無属性,"ミルカルビの牛肉,ミルク",牧場Lv1
30,イバラヒメ,草属性,"小麦の種,レタスの種","種まきLv1,手作業Lv1,製薬Lv2,運搬Lv1,採集Lv1"
31,シャーキッド,水属性,,Lv
31A,シャーマンダー,炎属性,,Lv
32,シメナワ,地属性,繊維,"手作業Lv1,採集Lv1,運搬Lv2"
32A,オバケナワ,氷属性,,Lv
33,ササゾー,草属性,,Lv
33A,ライゾー,雷属性,,Lv
34,メリポップ,無属性,"わたあめ,上質なパルオイル",牧場Lv1
35,ベリゴート,草属性,"ベリゴートの香草肉,赤いベリー,角","種まきLv2,牧場Lv1"
36,メルパカ,無属性,"羊毛,革",牧場Lv1
37,ツノガミ,無属性,"ツノガミの鹿肉,革,角",伐採Lv2
37A,ヤマガミ,地属性,,Lv
38,ホークウィン,無属性,革,採集Lv2
39,ヒメウサ,無属性,"革,きれいな花","手作業Lv1,採集Lv1,運搬Lv1"
40,ヘルゴート,炎属性/闇属性,"角,革","火おこしLv1,手作業Lv2,運搬Lv2,採掘Lv1"
40A,アビスゴート,闇属性,,Lv
41,パピテフ,草属性,,Lv
42,ブルフェルノ,炎属性,"角,発火器官","火おこしLv2,伐採Lv1"
43,ドドドドン,地属性,,Lv
44,マスクロウ,闇属性,"骨,毒腺,小さなパルのソウル",伐採Lv1
45,ダリザード,闇属性,"銅のカギ,銀のカギ","手作業Lv1,採集Lv1,運搬Lv1"
45A,チリザード,炎属性,,Lv
46,ツキカゲ,闇属性,骨,手作業Lv2
47,エアムルグ,無属性,"エアムルグの鳥肉,革",採集Lv2
